category,local_label,ccdef_label,loinc_code,loinc_shortname
clinical,TDT,,,
clinical,PROBLEM SPECIMEN,,,
clinical,PROBLEM SPECIMEN,,,
clinical,PROBLEM SPECIMEN,,,
clinical,VOIDED SPECIMEN,,,
clinical,VOIDED SPECIMEN,,,
clinical,VOIDED SPECIMEN,,,
clinical,VOIDED SPECIMEN,,,
clinical,VOIDED SPECIMEN,,,
clinical,VOIDED SPECIMEN,,,
clinical,VOIDED SPECIMEN,,,
clinical,VOIDED SPECIMEN,,,
clinical,VOIDED SPECIMEN,,,
clinical,VOIDED SPECIMEN,,,
clinical,VOIDED SPECIMEN,,,
clinical,VOIDED SPECIMEN,,,
clinical,SURFACTANT ALBUMIN RATIO,,,
